date,blocks,bounce_drops,bounces,clicks,deferred,delivered,invalid_emails,opens,processed,requests,spam_report_drops,spam_reports,unique_clicks,unique_opens,unsubscribe_drops,unsubscribes
2016-03-16,47,46,39,3468,57224,369160,15,25308,369233,369295,1,30,2287,14772,0,0
2016-03-16,47,46,39,3468,57224,369160,15,25308,369233,369295,1,30,2287,14772,0,0
2016-03-17,35,45,29,3384,60862,376909,17,25012,376951,377015,2,15,2247,15240,0,0
2016-03-17,35,45,29,3384,60862,376909,17,25012,376951,377015,2,15,2247,15240,0,0
2016-03-18,23,38,46,3200,62066,382520,15,23639,382607,382662,2,12,2151,14484,0,0
2016-03-18,23,38,46,3200,62066,382520,15,23639,382607,382662,2,12,2151,14484,0,0
2016-03-19,28,23,27,2564,47552,286598,11,20209,286654,286688,0,4,1636,11685,0,0
2016-03-19,28,23,27,2564,47552,286598,11,20209,286654,286688,0,4,1636,11685,0,0
2016-03-20,30,49,43,2860,66301,345366,11,27854,345428,345489,1,6,1954,13567,0,0
2016-03-20,30,49,43,2860,66301,345366,11,27854,345428,345489,1,6,1954,13567,0,0
2016-03-21,38,41,29,3880,48355,390409,5,27913,390463,390514,5,11,2542,16728,0,0
2016-03-21,38,41,29,3880,48355,390409,5,27913,390463,390514,5,11,2542,16728,0,0
2016-03-22,37,48,59,3995,63656,399867,21,26805,399973,400045,3,26,2679,16428,0,0
2016-03-22,37,48,59,3995,63656,399867,21,26805,399973,400045,3,26,2679,16428,0,0
2016-03-23,36,49,51,3906,71022,397554,21,25694,397629,397704,5,16,2506,15850,0,0
2016-03-23,36,49,51,3906,71022,397554,21,25694,397629,397704,5,16,2506,15850,0,0
2016-03-24,79,82,362,3996,77104,427948,67,23363,428384,428538,3,18,2622,14249,2,0
2016-03-24,79,82,362,3996,77104,427948,67,23363,428384,428538,3,18,2622,14249,2,0
2016-03-25,45,36,75,3948,65753,426206,24,21445,426335,426400,5,16,2514,13442,0,0
2016-03-25,45,36,75,3948,65753,426206,24,21445,426335,426400,5,16,2514,13442,0,0
2016-03-26,46,34,39,3656,62432,420717,12,21118,420821,420870,3,23,2345,13127,0,0
2016-03-26,46,34,39,3656,62432,420717,12,21118,420821,420870,3,23,2345,13127,0,0
2016-03-27,62,49,38,3949,60282,421910,11,21891,422011,422072,1,76,2554,13742,0,0
2016-03-27,62,49,38,3949,60282,421910,11,21891,422011,422072,1,76,2554,13742,0,0
2016-03-28,63,32,55,4023,68035,421752,19,23260,421843,421899,5,35,2558,14512,0,0
