date,provider,blocks,bounces,clicks,deferred,delivered,drops,opens,spam_reports,unique_clicks,unique_opens
2016-03-19,AOL,0,3,101,1093,1865,0,422,1,74,259
2016-03-19,AT&T,0,0,25,203,324,0,107,0,21,90
2016-03-19,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-19,Charter,0,0,0,1,59,0,0,0,0,0
2016-03-19,Comcast,0,0,3,1502,519,0,13,0,1,6
2016-03-19,Cox,0,0,7,32,84,0,18,0,1,15
2016-03-19,Dream Host,0,0,0,0,6,0,1,0,0,1
2016-03-19,Earthlink,0,0,0,1,15,0,0,0,0,0
2016-03-19,Facebook,0,0,0,0,0,0,0,0,0,0
2016-03-19,GMX,0,0,1,0,24,0,5,0,1,2
2016-03-19,Gmail,8,16,1783,35716,260203,4,16059,1,1101,9126
2016-03-19,GoDaddy,0,0,0,4,51,2,29,0,0,6
2016-03-19,Hotmail,0,4,134,3151,5872,2,745,0,95,492
2016-03-19,Libero,0,0,0,0,0,0,0,0,0,0
2016-03-19,Mail.Ru,0,0,2,0,6,0,2,0,1,2
2016-03-19,MessageLabs,0,0,0,0,5,0,0,0,0,0
2016-03-19,Microsoft Forefront,0,0,0,0,0,0,0,0,0,0
2016-03-19,Microsoft Hosted Exchange,0,0,0,0,0,0,0,0,0,0
2016-03-19,Microsoft Outlook Live,0,0,6,0,248,3,71,0,3,19
2016-03-19,Optus,0,0,0,0,0,0,0,0,0,0
2016-03-19,Orange,0,0,0,0,0,0,0,0,0,0
2016-03-19,Other,19,0,41,530,826,11,130,0,29,82
2016-03-19,Postini,0,0,0,0,10,0,0,0,0,0
2016-03-19,Prodigy,0,0,32,118,337,0,85,0,19,60
2016-03-19,Rackspace,1,0,1,0,17,1,7,0,1,2
2016-03-19,RoadRunner,0,0,1,21,134,0,3,0,1,3
2016-03-19,Shaw,0,0,0,0,0,0,0,0,0,0
2016-03-19,US Government,0,0,0,0,6,0,0,0,0,0
2016-03-19,US Military,0,0,0,0,0,0,0,0,0,0
2016-03-19,University,0,0,6,3,126,0,33,0,3,14
2016-03-19,Verizon,0,0,4,3,144,0,16,0,2,9
2016-03-19,WEB.DE,0,0,0,0,0,0,0,0,0,0
2016-03-19,Yahoo,0,3,404,4462,14113,0,2181,2,271,1310
2016-03-19,Yandex,0,0,0,0,0,0,0,0,0,0
2016-03-19,ZohoMail,0,0,0,2,1,0,0,0,0,0
2016-03-19,free.fr,0,0,0,0,0,0,0,0,0,0
2016-03-19,iCloud,0,1,13,710,1603,0,282,0,12,187
2016-03-20,AOL,0,0,97,877,2365,2,463,0,78,304
2016-03-20,AT&T,0,0,13,1368,436,0,51,0,10,37
2016-03-20,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-20,Charter,0,0,0,0,93,0,0,0,0,0
2016-03-20,Comcast,0,0,3,2972,728,2,17,0,2,8
2016-03-20,Cox,0,0,1,35,107,0,12,0,1,10
2016-03-20,Dream Host,0,0,0,0,6,0,0,0,0,0
2016-03-20,Earthlink,0,0,0,3,17,0,0,0,0,0
2016-03-20,Facebook,0,0,0,0,0,0,0,0,0,0
2016-03-20,GMX,0,0,0,0,32,0,3,0,0,3
2016-03-20,Gmail,10,19,1978,37759,311639,1,18053,0,1332,10766
2016-03-20,GoDaddy,0,0,3,1,73,4,8,0,3,7
2016-03-20,Hotmail,0,11,141,3582,7504,1,918,3,105,605
2016-03-20,Libero,0,0,0,0,0,0,0,0,0,0
2016-03-20,Mail.Ru,0,0,0,0,7,0,0,0,0,0
2016-03-20,MessageLabs,0,0,1,0,3,0,0,0,1,0
2016-03-20,Microsoft Forefront,0,0,0,0,0,0,0,0,0,0
2016-03-20,Microsoft Hosted Exchange,0,0,0,0,0,0,0,0,0,0
2016-03-20,Microsoft Outlook Live,0,0,6,1,338,2,63,0,6,32
2016-03-20,Optus,0,0,0,0,0,0,0,0,0,0
2016-03-20,Orange,0,0,0,0,1,0,1,0,0,1
2016-03-20,Other,17,7,61,460,1173,33,153,0,33,86
2016-03-20,Postini,0,1,0,2,16,0,0,0,0,0
2016-03-20,Prodigy,0,0,37,130,436,0,110,0,25,71
2016-03-20,Rackspace,2,0,4,0,24,3,5,0,1,2
2016-03-20,RoadRunner,1,0,4,0,170,0,5,0,4,4
2016-03-20,Shaw,0,0,0,0,0,0,0,0,0,0
2016-03-20,US Government,0,0,0,0,8,0,0,0,0,0
2016-03-20,US Military,0,0,0,3,2,0,0,0,0,0
2016-03-20,University,0,1,4,5,169,0,20,0,2,15
2016-03-20,Verizon,0,0,8,0,198,0,23,0,5,7
2016-03-20,WEB.DE,0,0,0,0,0,0,0,0,0,0
2016-03-20,Yahoo,0,4,468,18697,17836,2,7559,3,323,1378
2016-03-20,Yandex,0,0,0,0,0,0,0,0,0,0
2016-03-20,ZohoMail,0,0,0,0,0,0,0,0,0,0
2016-03-20,free.fr,0,0,0,0,0,0,0,0,0,0
2016-03-20,iCloud,0,0,31,406,1985,0,390,0,23,231
2016-03-21,AOL,0,2,150,27,2921,4,509,2,93,348
2016-03-21,AT&T,0,0,48,565,592,0,194,0,34,158
2016-03-21,BigPond,0,0,0,0,0,0,0,0,0,0
2016-03-21,Charter,0,0,0,0,115,0,3,0,0,3
2016-03-21,Comcast,0,1,4,2512,880,0,17,0,4,10
2016-03-21,Cox,0,0,22,6,136,0,28,0,7,22
2016-03-21,Dream Host,0,0,0,0,5,0,1,0,0,1
2016-03-21,Earthlink,0,0,0,2,24,0,0,0,0,0
2016-03-21,Facebook,0,0,0,0,0,0,0,0,0,0
2016-03-21,GMX,0,0,2,0,39,0,6,0,1,3
2016-03-21,Gmail,11,15,2490,38295,350051,9,21826,0,1663,12867
2016-03-21,GoDaddy,0,0,2,3,87,4,53,0,1,17
2016-03-21,Hotmail,1,6,232,1495,9107,5,1007,2,144,705
2016-03-21,Libero,0,0,0,0,0,0,0,0,0,0
2016-03-21,Mail.Ru,0,0,0,0,11,0,0,0,0,0
